,id,description,photo,article,name,price
15,4184557,"Состав: Мясной,Киото,Динамит,Банзай
Вес: 1250 гр
",https://sun9-53.userapi.com/IdhKd0NIrqvS8c2EgoZU_ul8NgWm7PfByMkQng/8z4YD5oRYBI.jpg,,сет Гурман,699.0
16,4129017,"Состав: лосось в темпуре . нори , рис, сыр творожный, кунжут.
Вес: 290 гр.",https://sun9-29.userapi.com/LIw58DHeHvoAHCag5Amtp6jV13cNChgSYA6OfQ/I74V0yU2HP8.jpg,,Сливочный лосось,210.0
17,4007197,"Состав: нежная шейка свинины, лук репчатый со свежей зеленью.
Вес: 100 \ 40 гр.",https://sun9-37.userapi.com/c857424/v857424890/14b001/u0jxt0e_UJk.jpg,,Шашлык из свиной шеи,150.0
18,4007223,"Собственного приготовления.
Стоимость за 1 булку.",https://sun9-71.userapi.com/_aojjO2CQttO6WYz0HUmAKoOCn3O0UjGgyTg3Q/GNXKNf7BVcg.jpg,,Хлеб грузинский,50.0
19,4007222,"На выбор:
- Красный
- Белый
Вес: 240 гр.",https://sun9-52.userapi.com/c856016/v856016653/1c9160/bXZMLPXrJS4.jpg,,Томатный соус,50.0
20,4007220,"Состав: куриные крылья.
Вес: 100 гр.",https://sun9-73.userapi.com/JI0ZqpqgDYlsE2hYWdZziAEwyP2sYkdu4DGIEQ/CJGjm6Lrzi4.jpg,,Крылышки гриль,100.0
21,4007214,"Состав: картофель.
Вес: 280 гр.",https://sun9-54.userapi.com/TemhXc0h6K0-CbtqIbVDBpgsOkJjCVDxK7Z4gg/kcuLSURMrjI.jpg,,Картофель на гриле,100.0
22,4007213,"Состав: сочное и мягкое филе цыпленка, лук репчатый со свежей зеленью.
Вес: 100 \40 гр.",https://sun9-39.userapi.com/c855336/v855336890/1cc13e/DtYPkpzmcBI.jpg,,Куриное филе,110.0
23,4007208,"Состав: нежное куриное мясо, лук репчатый со свежей зеленью.
Вес: 100 \ 40 гр.",https://sun9-55.userapi.com/c855236/v855236890/1cabe0/9vUkA1DR1nI.jpg,,Куриный шашлык,110.0
24,4007202,"Состав: фарш, собственного производства, с луком и специями, лук репчатыйсо свежей зеленью.
На выбор:
- Свинина
- Говядина
- Баранина
- Курица.
Вес: 200 \ 40 гр.",https://sun9-74.userapi.com/c857236/v857236890/acbcf/xmPwLpGzHBY.jpg,,Люля-кебаб,230.0
25,3868259,"Состав: филе куриное, сыр, помидоры, сухарики, соус Цезарь, салат.
Вес: 300 гр.",https://sun9-3.userapi.com/c855416/v855416633/17bd45/raxiZUzNrkk.jpg,,Цезарь с курицей,200.0
26,3868242,"Состав: нори, рис, мясо угря, тилапия, густой, майонез, икра масаго, соус Спайси.
Вес: 310 гр.",https://sun9-22.userapi.com/c854216/v854216633/181569/RzzhdBj3aYA.jpg,,Аляска,200.0
27,3868261,"Состав: сыр Пармезан, помидоры, сухарики, соус Цезарь, салат + лосось \ креветки (на выбор)
Вес: 280 гр.",https://sun9-57.userapi.com/c854024/v854024633/17e341/tugkoY_Aukk.jpg,,Цезарь с лососем\креветками,250.0
28,3868254,"Состав: рис, курица жареная в соусе терияки, кунжут жаренный.
Вес: 270 гр.",https://sun9-44.userapi.com/c854216/v854216633/1815db/ZhtYRBMpynM.jpg,,Рис с курицей,160.0
29,3868256,"Состав: соус, куриная котлета, помидор свежий, огурец хрустящий, салат, сыр.
Вес: 300 гр.",https://sun9-7.userapi.com/c857224/v857224633/63041/Y32Y6uk7Gdg.jpg,,Чикен бургер,170.0
30,3868251,"Состав: лапша, креветки, фасоль стручковая, морковь, перец болгарский, пекинская капуста, лук репчатый, терияки.
Вес: 300 гр.",https://sun9-72.userapi.com/c855016/v855016633/1701d8/HEEJdH3nHQA.jpg,,Лапша с креветками,220.0
31,3868247,"Состав: нори, рис, сыр творожный, красный лосось, свежий огурец.
Вес: 340 гр.",https://sun9-75.userapi.com/c857720/v857720633/104eeb/8DZBzCDKhVY.jpg,,Филадельфия лайт,239.0
